store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
650,ETOBICOKE,ONTARIO,ON,897,3370.91,1665.83,2066.16,1304.75,655.13,199.06,162.21,120.87,47.69,77.5,62.12,28.85,43.31,164.31,54.21
651,ETOBICOKE,ONTARIO,ON,744,2707.1,1263.54,1656.08,1051.02,519.04,201.19,102.73,99.12,25.37,85.04,37.12,14.5,46.6,151.81,47.56
655,RICHMOND HILL,ONTARIO,ON,758,2342.59,1020.9,1409.13,933.46,297.88,147.69,84.1,62.79,36.12,71.02,29.37,22.42,40.94,110.4,28.79
676,SCARBOROUGH,ONTARIO,ON,803,2629.48,1166.1,1607.61,1021.87,375.15,134.58,93.73,50.98,55.27,76.29,49.15,31.48,49.02,109.69,29.75
682,SCARBOROUGH,ONTARIO,ON,801,2411.33,1123.21,1479.77,931.56,469.85,171.94,107.46,79.42,32.4,68.71,35.27,19.77,40.98,126.88,35.6
683,SCARBOROUGH,ONTARIO,ON,727,2030.77,964.63,1221.4,809.37,345.58,135.44,87.04,69.73,31.21,60.48,34.67,12.35,41.81,106.98,30.46
687,SCARBOROUGH,ONTARIO,ON,751,3143.61,1469.69,1871.1,1272.51,492.85,197.88,117.33,104.52,26,85.58,54.9,13.58,48.19,188.54,46.98
699,SCARBOROUGH,ONTARIO,ON,742,2928.75,1405.44,1777.82,1150.93,553.19,170.21,128.29,101.9,47.44,80.48,53.75,18.46,45.29,163.38,48.06
732,ST. CATHARINES,ONTARIO,ON,814,1621.05,740.21,997.74,623.32,295.67,134.06,73.42,57.38,21.98,47.88,24.29,12.5,33.02,58.4,33.56
733,ST. CATHARINES,ONTARIO,ON,489,1072.88,521.85,649.71,423.16,225.96,95.83,61.08,47.83,11.13,31.13,16.9,8.73,21.37,45.38,19.13
735,ST. CATHARINES,ONTARIO,ON,979,3463.98,1494.12,2168.92,1295.05,593.58,318.25,111.15,83.23,47.13,109.15,37.79,32.33,65.13,109.27,53.92
741,ST THOMAS,ONTARIO,ON,702,1955.13,904.25,1229.05,726.08,445.02,146.44,89.75,64.46,21.83,72.06,23.31,19.17,51.23,73.46,38.13
769,SUDBURY,ONTARIO,ON,304,429.1,188.21,271.36,157.74,78,50.13,11.62,7.02,3.08,16.75,7.37,1.58,8.83,15.42,9.5
784,THORNHILL,ONTARIO,ON,791,3006.44,1334.13,1801.93,1204.51,440.33,156.02,121.94,99.62,52.15,93,36.29,26.38,59.44,177.94,24.98
787,VAUGHAN,ONTARIO,ON,786,2487.65,1117.38,1519.51,968.13,426.56,192.08,81.02,69.25,37.98,68.65,31.94,17.04,37.75,145.67,30.21
813,TORONTO,ONTARIO,ON,906,5101.63,2304.33,3142.57,1959.07,790.75,196.62,259.04,122.33,115.83,112.6,106.31,79.44,54.92,225.46,63.13
822,TORONTO,ONTARIO,ON,757,2383.49,1090.04,1521.45,862.04,352.33,114.12,89.25,78.19,36.88,64.87,38.67,21.1,43,148.5,34.1
823,TORONTO,ONTARIO,ON,791,5752.27,2552.25,3440.9,2311.37,826.48,326.12,164.37,211.15,96.13,183.65,68.96,51.08,84.15,347.04,76.63
829,TORONTO,ONTARIO,ON,788,4369.24,1978.52,2625.01,1744.23,671.35,253.79,150.81,151.08,57.4,137.56,72.65,44.73,64.17,264.23,67.52
830,NORTH YORK,ONTARIO,ON,517,2353.05,1107.08,1411.32,941.74,337.9,159.5,95.38,107.4,45.33,49.63,47.73,17.85,42.65,111.19,26.35
834,TORONTO,ONTARIO,ON,698,2403.59,1116.08,1434.81,968.78,377.9,128.77,86.23,87.29,31.02,56.08,35.37,17.62,40.38,158.31,31.65
857,TORONTO,ONTARIO,ON,712,2731.58,1244.67,1691.97,1039.62,506.58,204.83,109.23,92.62,30.12,84.06,29.46,28.88,34.33,128.33,43.69
872,CONCORD,ONTARIO,ON,937,3483.55,1563,2104.15,1379.4,549.29,228.92,139.56,119.42,39.46,87.25,42.94,29.79,60,187.56,31.71
911,NORTH YORK,ONTARIO,ON,746,2560.12,1234.17,1566.53,993.59,450.85,180.31,96.87,135.42,38.67,53.44,43.67,17.52,27.04,139.94,46.83
914,NORTH YORK,ONTARIO,ON,668,2671.68,1245.06,1581.96,1089.72,435.62,186.79,106.23,119.83,32.04,72.06,29.81,17.37,40.52,148.88,34.88
920,WHITBY,ONTARIO,ON,740,1697.61,789.02,1064.87,632.74,373.29,149.77,86.54,52.06,24.65,46.25,22.29,11.56,40.75,61.06,32.38
928,WIARTON,ONTARIO,ON,391,499.7,220.62,304.3,195.4,74.46,38.96,19.62,11.77,6.65,13.67,6.27,2.67,13.69,27.13,8.69
935,NORTH YORK,ONTARIO,ON,892,3386.34,1533.27,2073.72,1312.62,597.75,234.73,127.62,94.81,43.94,80.65,57.46,32.79,58.4,204.44,41.06
937,NORTH YORK,ONTARIO,ON,806,2433.02,1116.04,1469.48,963.54,411.17,133.48,97.77,79.56,32.02,62.19,36.52,19.5,44.5,165.21,31.71
941,WINDSOR,ONTARIO,ON,806,2575.7,1125.44,1626.02,949.68,425.4,142.06,79.35,56.08,46.79,80.81,26.81,29.98,51.58,86.75,52.79
959,WOODBRIDGE,ONTARIO,ON,1009,5166.15,2280.62,3092.05,2074.1,732.96,352.19,165.73,162.37,74.04,138.71,64.58,36.81,82.23,297.35,56.67
960,WOODBRIDGE,ONTARIO,ON,754,3029.19,1371.4,1843.41,1185.78,510.25,162.23,155.23,115.94,61.98,96.29,42.44,31.77,43,145.83,27.06
962,ETOBICOKE,ONTARIO,ON,455,1465.31,757.47,901.82,563.49,389.27,151.41,104.24,72.98,19.16,31.53,21.2,7.73,34.29,87.18,17.96
973,UNKNOWN,QUEBEC,UNKNOWN,482,1518.72,682.83,939.78,578.94,217.08,81.42,90.67,35.75,22,25.42,44.92,22.25,35.58,51.08,36.67
987,AJAX,ONTARIO,ON,933,2527.1,1158.83,1564.73,962.36,440.27,164.19,118.67,81.38,45.65,65.67,38,24.44,50.62,98,33.9
996,OAKVILLE,ONTARIO,ON,399,1685.91,800.44,1031.13,654.78,330.48,139.77,100.94,74.9,7.88,69.63,18.54,13.4,38.75,77.65,18.35
1004,GLOUCESTER,ONTARIO,ON,649,2802.87,1254.06,1738.47,1064.4,410.04,247.56,90.08,69.27,28.27,82.35,37.52,30.42,46.13,111.69,72.21
1308,TECUMSEH,ONTARIO,ON,693,2899.17,1242.29,1793.96,1105.21,448.21,255.63,83.12,122.17,38.27,120.08,23.1,24.73,29.04,85.75,51.77
1312,RICHMOND HILL,ONTARIO,ON,739,1517.45,697.96,918.95,598.5,270.6,94.94,62.54,61.94,19.94,46.46,22,11.02,25.38,92.12,17.65
1315,BRAMPTON,ONTARIO,ON,736,3039.26,1428.73,1878.54,1160.72,634.5,222.29,145.94,82.85,45.52,103.73,48.08,12.96,48.67,151.94,48.65
1326,BURLINGTON,ONTARIO,ON,869,3575.92,1580.94,2205.25,1370.67,591.13,275.67,117.75,114.5,47.73,125.71,59.67,34.42,74.44,143.29,43.17
1327,LONDON,ONTARIO,ON,680,2330.93,1042.12,1494.04,836.89,506.54,221.33,109.38,70.85,35.31,74.02,27.04,25.1,42.27,73.17,32.87
1328,LONDON,ONTARIO,ON,798,2391.3,1069.71,1492.34,898.95,457.77,171.58,92.6,65.75,36.21,94.77,32.65,30.17,46.6,82.58,31.46
1334,WHITBY,ONTARIO,ON,720,1884.76,852.44,1160.14,724.62,335.9,146.92,85.37,58.25,33.17,68.81,19.71,16.56,24.83,64.38,33.4
1404,SCARBOROUGH,ONTARIO,ON,867,4192.14,1855.48,2572.95,1619.19,643.9,244.35,141.4,110.25,53.02,83.23,62.77,41.42,58.96,236.67,48.21
1405,SCARBOROUGH,ONTARIO,ON,789,1744.63,809.25,1058.49,686.14,309.02,104,68.9,53.08,18.65,44.65,33.13,14.12,28.71,112.52,19.83
1427,ARTHUR,ONTARIO,ON,651,1154.33,539.98,721.25,433.07,203.9,48.52,57.04,26.04,15.21,37.69,33.31,12.17,33.56,49.44,27.6
1429,AURORA,ONTARIO,ON,838,1974.43,848.87,1199.1,775.34,268.46,118.17,68.06,42.77,30.58,69.54,34.42,23.87,37.9,93.13,24.48
1446,BARRIE,ONTARIO,ON,944,5398.27,2361.63,3393.54,2004.73,982.38,365.9,185.77,104.98,108.23,148.73,75.04,87.85,91.29,154.27,88.17
1455,NEPEAN,ONTARIO,ON,420,661.91,327.12,405.95,255.96,134.88,52.83,41.62,28.1,3.37,18.71,12.75,4.33,14.67,37.38,19.58
1470,BOLTON,ONTARIO,ON,787,2747.26,1207.56,1674.21,1073.05,412.48,194.38,102,111.85,35.94,75.79,30.17,25.79,56.54,104.62,32.13
1480,BRAMPTON,ONTARIO,ON,748,2790.29,1291.37,1717.85,1072.45,471.37,198.71,128.21,89.25,48.83,70.12,42.38,27.79,48.77,87.37,42.31
1487,BRAMPTON,ONTARIO,ON,898,4162.08,1814.67,2611.65,1550.43,697.37,324.56,152.94,110.77,74.6,109.79,49.52,44.69,72.58,145.67,45.73
1616,LONDON,ONTARIO,ON,816,2041.14,911,1278.75,762.39,380.94,148.69,85.4,60.88,32.94,69.37,26.92,26.38,34.44,75.56,30.81
2505,CALGARY,WEST,AB,360,778.29,359.37,472.99,305.3,123,70.21,20.6,23.83,6.12,17.44,13.65,4.71,16.23,45.83,21.44
2512,FORT ST. JOHN,WEST,BC,539,2596.13,1051.29,1546.95,1049.18,359.42,196.5,73.19,51.92,27.13,61,33.38,14.58,36.33,116.21,63.67
2519,QUESNEL,WEST,BC,917,4337.47,1805.85,2609.01,1728.46,611.17,273.27,123.17,83.77,48.94,116.52,67.77,39.52,67.54,150.21,87.81
2538,EDMONTON,WEST,AB,800,4207.49,1853.52,2610.6,1596.89,693.71,306.25,177.96,76.65,55.92,92.4,58.42,35.06,82.08,151.81,98.63
2542,ROCKY MOUNTAIN HOUSE,WEST,AB,843,3472.78,1368.21,2066.55,1406.23,450.46,172.19,96.12,50.06,41.85,78.87,62.35,31.65,61.17,182.4,78.1
2548,CHASE,WEST,BC,804,4226.55,1806.25,2565.22,1661.33,698.98,226.13,125.29,71.12,70.15,126.85,66.13,49.5,59.92,176.37,99.4
2552,CALGARY,WEST,AB,880,3327.09,1439.48,1995.27,1331.82,426.35,198.75,98.6,71.48,46.54,85.38,60.29,33.21,51.42,160.12,53.35
2556,MAPLE RIDGE,WEST,BC,744,2946.56,1286.69,1759.72,1186.84,505.37,201.55,96.22,74.41,35.12,95.94,34.41,20.16,57.63,121.53,53.76
2557,PORT COQUITLAM,WEST,BC,548,2568.45,1148.25,1563.99,1004.46,412.63,219.85,103.35,68.29,21.19,78.25,32.35,18.62,34.29,111.58,41.38
2560,WINFIELD,WEST,BC,627,1925.63,807.02,1134.23,791.4,283.12,119.67,37.42,29.08,17.6,63.88,17.31,13.29,30.6,122.56,31
2562,EDMONTON,WEST,AB,934,7647.52,3142.98,4780.12,2867.41,1009.96,445.35,231.42,87.56,129.29,181.33,106.31,126.08,122.88,234.23,143.79
2563,SURREY,WEST,BC,402,2188.04,1057.25,1375.59,812.45,455.25,136.83,99.83,59.73,20.98,75.37,42.56,12,64.4,83.27,61.65
2566,KAMLOOPS,WEST,BC,718,3012.13,1302.08,1846.3,1165.83,584.35,236.98,78.83,71.77,35.02,92.63,31.94,25.44,29.85,113.33,68.63
2587,VANCOUVER,WEST,BC,965,7211,3158.29,4450.82,2760.18,942.83,284.52,288.79,99.69,132.48,166.13,151.65,118.92,136.35,231.52,70.73
2591,CALGARY,WEST,AB,1038,6590.32,2724.58,3959.91,2630.41,744.52,392.46,155.67,127.42,110.08,203.13,94.38,73.67,98.04,309.98,82.79
2618,KELOWNA,WEST,BC,1021,6889.42,2935.04,4184.11,2705.31,1099.96,353.88,195.37,110.71,117.06,195.54,89.65,102.12,120.94,289.52,80.23
2619,REGINA,WEST,SK,982,6329.98,2644.83,3987.11,2342.87,884.25,349.21,181.85,93.6,72.58,145.44,98.21,102.31,106.92,197.12,125.46
2627,ABBOTSFORD,WEST,BC,498,1989.7,902.96,1226.96,762.75,364.88,144.69,92.19,45.9,29.81,38.27,26.65,15.6,48.25,64.25,37.65
2631,MISSION,WEST,BC,928,3760.47,1635.52,2306.72,1453.76,734.81,273.25,145.5,66.13,59.4,97.13,44.94,34.04,54.77,173.81,58.42
2634,WEST VANCOUVER,WEST,BC,543,1350.13,629.4,793.92,556.21,165.75,46.77,59.94,38.06,15,49.12,20.96,11.08,24.65,71.94,12.12
2639,WINNIPEG,WEST,MB,733,2341.55,1049.5,1436.26,905.29,367.73,123.9,75.54,52.46,40.96,91.77,39.62,17.54,44.5,115.31,67.67
2640,VICTORIA,WEST,BC,606,745.87,339.56,454.98,290.89,119.38,42.46,26.48,22.75,8.31,25.75,8.83,4.5,13.85,34.42,9.37
2644,SASKATOON,WEST,SK,803,4021.9,1713.9,2537.86,1484.04,652.77,238.98,113.85,86.52,31.63,116.12,48.75,43.73,65.48,126.37,112.94
2652,ST. ALBERT,WEST,AB,655,2578.6,1142.62,1564.74,1013.86,395.23,158.4,87.79,53.73,34.71,70.02,39.83,19.13,52.65,147.33,73.4
2665,CALGARY,WEST,AB,860,5291.2,2242.35,3201.91,2089.28,648.54,229.25,125.5,124.5,81.19,126.06,89.44,60.56,79.13,220.9,60.21
2667,NANOOSE BAY,WEST,BC,1003,11568.82,4997.85,6753.83,4814.99,1762.65,520.42,323.04,168.44,165.85,312.77,217.65,138.94,154.9,749.69,177.79
2669,EDMONTON,WEST,AB,944,7289.77,3119.83,4465.17,2824.6,904.81,314.88,245.06,94.48,137.06,176.92,128.4,82.21,105.4,262.06,159.77
2671,WILLIAMS LAKE,WEST,BC,656,1428.12,636.12,852.88,575.24,263.96,86.62,40.46,36.9,13.38,41.52,20.88,8.35,19,87.83,29.31
2684,SALMON ARM,WEST,BC,715,1585.36,664.9,935.79,649.56,228.58,79.98,45.12,24.73,22.04,41.6,21.96,16.06,16.85,81.88,35.19
2695,CALGARY,WEST,AB,514,5592.71,2408.4,3394.49,2198.22,753.08,435.98,180.56,146.6,94.62,124.08,81.08,44.19,81.08,225.21,108.48
2698,KAMLOOPS,WEST,BC,982,5781.89,2474.6,3520.92,2260.96,964.87,306.54,159.37,112.5,103.21,180.69,81.83,67.58,98.9,232.6,102.13
2711,CALGARY,WEST,AB,1078,8385.6,3479.12,5316.43,3069.17,1232.17,446.62,252.25,96.13,150.19,182.52,133.35,139.71,122.92,182.71,177.44
2714,EDMONTON,WEST,AB,411,2203.74,959.23,1328.4,875.34,306.9,170.21,64.58,47.65,24.42,65.75,33.21,6.23,33.98,148.37,88.9
2718,LANGLEY,WEST,BC,603,3352.27,1519.46,2106.21,1246.06,578.67,209.46,138.81,53.73,71.13,110.4,50.98,32.94,74.06,107.42,70.48
2742,EDMONTON,WEST,AB,595,2101.58,902.9,1293.95,807.62,320.48,164.71,79.77,47.48,17.29,56.19,28.12,13.6,49.5,77.92,43
2743,LAKE LOUISE,WEST,AB,1041,10915.15,4308.08,6414.21,4500.94,1251.58,382.6,356.12,85.6,222.21,238.96,194.79,218.92,199.5,456.62,121.92
2751,WINNIPEG,WEST,MB,643,2744.41,1226.54,1728.31,1016.1,424.02,142.65,97.5,62.58,28.52,70.12,35.04,40.5,35.37,88.25,76.83
2758,BURNABY,WEST,BC,578,1035.53,468.9,621.39,414.13,154.35,64.44,29.48,32.19,8.92,36.12,15.38,7.71,17.9,63.5,14.69
2780,FORT ST. JOHN,WEST,BC,875,17960.16,6605.33,10644.28,7315.88,2091.77,1221.5,384.88,160.88,210.4,446.15,316.77,185.65,257.23,780.54,277.92
2795,WINNIPEG,WEST,MB,680,1268.08,577.29,789.38,478.7,225.46,69.19,55.12,39.48,12.33,27.35,19.04,15.79,22.1,43.87,31.35
2807,RICHMOND,WEST,BC,792,2925.26,1330.63,1789.59,1135.67,520,193.92,123.17,63.79,39.27,87.9,48.5,29.38,47.5,163.85,38.88
2813,CALGARY,WEST,AB,472,759.85,342.67,452.57,307.28,103.17,47.79,24.48,22.65,9.17,15.38,10.46,3.46,10.23,47.38,22.67
2817,UNKNOWN,QUEBEC,UNKNOWN,346,469.49,232.82,293.74,175.75,82,18.71,22.53,10.12,6.35,12.06,8.24,7.71,18.94,18.88,10.35
2818,VICTORIA,WEST,BC,722,1502.2,696.38,915.34,586.86,235.46,95.13,61.75,37.65,24.31,48.79,27.73,10.69,29.06,44.88,22.4
2820,UNKNOWN,QUEBEC,UNKNOWN,885,3124,1386.83,1975.39,1148.61,423.08,264.46,88.46,45.92,41.81,97.19,51.88,16.79,33,197.23,48.75
2842,CALGARY,WEST,AB,495,841.29,396.56,509.89,331.41,146.56,46.73,36.4,30.81,12.58,19.88,14.92,6.23,10.96,52.15,19.46
2845,PRINCE GEORGE,WEST,BC,659,1622.54,726.38,1009.52,613.02,320.81,110.73,76.25,39.29,23.75,43.21,19.77,17.15,16.88,53.31,42.46
2846,SURREY,WEST,BC,961,3421.09,1518.73,2111.1,1309.99,641.42,225.77,148.5,70.02,46.67,91.77,49.23,38.02,52.56,123.27,46.27
2857,LADNER,WEST,BC,418,1151.5,522.67,707.8,443.7,190.62,51.4,54.75,33.08,17.19,27.12,13,14.17,21.92,47.79,23.87
2860,JASPER,WEST,AB,576,2985.94,1221.96,1718.56,1267.38,460.13,137.87,112.31,36.65,57.04,76.17,39.17,35.48,40.92,213.87,42.02
2879,KELOWNA,WEST,BC,1070,11155.07,4638.19,6879.04,4276.03,1843.15,704.02,302.31,126.77,173.06,329.17,124.33,147.52,165.4,415.87,188.92
2880,GRAND FORKS,WEST,BC,826,4434.7,1911.63,2699.1,1735.6,765.94,232.69,165.33,77.88,70.88,107.65,67.35,54.71,79.08,197,89.27
2889,VANCOUVER,WEST,BC,536,1472.4,657.04,870.59,601.81,178.29,63.4,49.31,49.83,42.38,31.42,13.62,20.6,23.35,72.65,20.42
2892,LOGAN LAKE,WEST,BC,764,3432.97,1484.58,2132.52,1300.45,599.75,201.12,110.46,48.1,53.63,91.35,66.77,38.13,69.73,107.69,97.98
3751,GLOUCESTER,ONTARIO,ON,673,2231.44,1011.08,1392.69,838.76,402.42,203.94,87.21,61,20.12,83.75,30.48,19.58,49.06,83.1,39.04
3827,OTTAWA,ONTARIO,ON,653,3531.26,1596.85,2221.85,1309.42,666.96,354.92,118.42,81.65,31.83,127.63,37.13,26.83,61,131.37,75.71
3872,GLOUCESTER,ONTARIO,ON,762,1724.75,793.69,1069.82,654.93,352.17,150.1,75.44,51.21,19.19,54.23,25.65,13.75,34.62,79.88,30.06
3885,OTTAWA,ONTARIO,ON,627,4324.85,2016.69,2636.47,1688.39,703.54,274.5,181.23,102.48,45.29,132.81,81.58,34.58,94.77,186.67,109.25
3919,OTTAWA,ONTARIO,ON,299,798,402.08,487.68,310.33,179.92,69.65,46.5,29.88,1.92,37.96,17.56,0,11.94,38.25,26.31
3964,KANATA,ONTARIO,ON,NA,506.3,252.37,305.88,200.42,89.96,39.73,22.21,17.9,0,24.71,14.69,2.98,10.58,27.06,10.96
4325,WESTBANK,WEST,BC,850,4945.12,2084.45,2879.19,2065.93,736.02,276.53,137.18,80.16,77.78,135.82,56.63,57.51,43.9,355.27,75.51
4732,NIAGARA-ON-THE-LAKE,ONTARIO,ON,675,2414.66,1069.71,1440.83,973.84,366.06,119.1,94.21,56.48,28.06,73.35,43.15,32.87,54.12,167.85,36.63
4774,BOWMANVILLE,ONTARIO,ON,447,1194.52,575.79,732.58,461.94,273.23,112.38,52.67,55.4,4.73,51.37,11.73,5.73,14.94,62.54,25.88
4787,OSHAWA,ONTARIO,ON,NA,393.47,205.75,255.58,137.89,125.94,44.04,34.17,16.25,0.85,19.08,9.19,0,8.85,15.17,12.87
4866,COURTICE,ONTARIO,ON,561,1116.24,534.02,700.84,415.4,300.25,136.12,53.87,53.23,11.29,40.87,7.06,5.63,14.81,35,29.67
4879,WHITBY,ONTARIO,ON,276,575.43,288.85,353.64,221.79,101.5,54.25,34.1,22.48,4.73,20.75,12.58,0,12.67,26.37,17.5
4987,ST CATHARINES,ONTARIO,ON,539,2480.71,1132.37,1547.48,933.23,482.44,204.13,107.02,65.19,29.52,71.83,36.19,23.33,57.48,103.21,38.38
5021,ST CATHARINES,ONTARIO,ON,NA,286.97,161.19,173,113.98,84.81,20.29,17.15,13.46,6.52,16.12,7.98,0,2.08,19.75,9.21
5034,ST CATHARINES,ONTARIO,ON,390,1287.95,599.92,809.44,478.51,264.71,161.15,50.48,36.96,19.37,35.06,21.83,6.6,16.29,57,20.1
5100,WELLAND,ONTARIO,ON,747,1610.89,719.77,1015.7,595.19,339.65,164,61.31,50.19,26.92,54.29,17.92,14.04,30.12,50.77,25.04
5184,MARKHAM,ONTARIO,ON,641,1392.85,651.38,854.82,538.03,266.79,90.21,78.31,37.63,17.75,39.52,28.23,10.27,30.13,61.52,18.04
5205,ORILLIA,ONTARIO,ON,821,3966.84,1789.83,2437.29,1529.56,821.46,227.54,167.88,86.4,59.67,118.62,81.44,57.75,102.12,172.37,70.33
5289,AURORA,ONTARIO,ON,NA,624.83,306.85,354.96,269.87,66.4,46.12,33.38,41.35,0.19,25.13,20.23,2.67,23.44,37.31,6.71
5326,BARRIE,ONTARIO,ON,529,1169.81,553.17,720.59,449.22,256.12,90.77,72.46,32.87,15.12,34.98,18.35,7.4,26.88,54.48,18.65
5368,BARRIE,ONTARIO,ON,555,1711.72,785.7,1051.63,660.09,336.72,149.3,65.3,39.28,19.02,59.68,29.79,11.04,44.17,82.43,28.36
5434,MISSISSAUGA,ONTARIO,ON,496,3873.35,1877.83,2319.13,1554.22,635.27,207,150.63,175.52,18.33,100.21,88.6,24.65,74.02,246.29,65.25
5463,MISSISSAUGA,ONTARIO,ON,334,297.19,166.9,187.64,109.55,80.63,14.9,25.79,32.15,2.67,6.13,6.37,0,9.21,15.83,9.56
5539,MISSISSAUGA,ONTARIO,ON,482,3226.82,1484.58,1968.83,1257.99,530.77,255.63,138.48,79.94,34.77,84.17,62.71,16.19,97.77,163.54,49.79
5618,MISSISSAUGA,ONTARIO,ON,683,2717.8,1227.06,1656.93,1060.87,456.1,190.6,133.31,77.62,38.29,77.04,41.37,23.73,54.62,105.52,39.31
5621,MISSISSAUGA,ONTARIO,ON,695,2585.97,1159.67,1577.76,1008.2,402.29,163.23,115.87,65.69,29.92,73.08,47.67,22.67,55.17,109.48,33.52
5805,BURLINGTON,ONTARIO,ON,565,3458,1616.96,2092.35,1365.65,639.94,280.48,153.88,97.25,44.54,108.35,78.46,16.88,64.62,169.33,66.56
5834,BURLINGTON,ONTARIO,ON,NA,441.37,229.98,265.21,176.16,108.63,38.15,32.96,14.69,3.12,20.04,13.33,0,4.1,29.94,9.27
5850,BURLINGTON,ONTARIO,ON,284,902.09,454.5,530.14,371.94,179.52,73.83,52.81,37.15,6.92,30.62,19.4,0.08,15.98,65.46,22.96
6178,SCARBOROUGH,ONTARIO,ON,NA,369.25,183.44,218.4,150.85,68.35,33.46,18.21,17.46,1.38,6,9.5,1.17,12.08,26.13,4.15
6273,SCARBOROUGH,ONTARIO,ON,812,4058.74,1876.21,2481.79,1576.95,751.1,333.9,145.63,107.96,48.38,124.88,70.35,28.12,84.88,220.1,57.73
6336,SCARBOROUGH,ONTARIO,ON,NA,324.91,173.54,193.44,131.47,73.17,24.63,21.29,25.75,0.85,9.56,9.75,0,8.25,24.15,1.56
6365,SCARBOROUGH,ONTARIO,ON,NA,591.79,300,352.02,239.76,110.75,50.94,30.96,28.38,1.02,14.42,18.13,1.87,16.25,33.19,3.52
6378,WILLOWDALE,ONTARIO,ON,595,2689.35,1204.13,1618.5,1070.85,407.02,165.31,105.85,91.12,33.38,57.58,35.23,26.06,43.27,169.21,31.02
6428,DOWNSVIEW,ONTARIO,ON,NA,1299.87,694.25,757.28,542.59,212.12,123.1,76.58,80.1,2.87,5.9,32.87,0.79,39.1,84.98,2
6499,TORONTO,ONTARIO,ON,835,3171.44,1447.42,1961.37,1210.07,546.4,161.29,108.37,65.1,60.25,94.9,53,40.31,65.06,144.27,47.31
6707,TORONTO,ONTARIO,ON,823,3012.28,1345.52,1903.67,1108.61,548.98,221.9,109.08,82.67,37.73,71.56,47.04,29.71,59.23,133.56,52.5
6723,TORONTO,ONTARIO,ON,408,1891.38,913.35,1175.9,715.48,350.79,181.48,118.48,77.04,16.9,33.15,33.17,6.4,3.63,110.62,33.37
7562,EMERYVILLE,ONTARIO,ON,772,3506.8,1511.58,2276.85,1229.95,682.69,296.1,110.65,84.87,50.37,153.46,33.58,45.71,78.06,82.25,66.48
7670,CAMBRIDGE,ONTARIO,ON,573,1363.71,607.17,828.06,535.65,228.69,101.42,55.79,36.1,11.1,58,22.9,7.88,30.15,61.12,26.17
7720,KITCHENER,ONTARIO,ON,NA,338.57,165.48,214.91,123.67,100.71,38.52,21.42,15.29,2.94,12.21,4.96,1.48,4.02,18.94,9.96
7825,WATERLOO,ONTARIO,ON,621,3214.45,1427.38,1980.85,1233.59,574.4,269.15,109.04,80.27,38.67,126.27,50.15,17.67,64.38,154.15,55.23
7854,WATERLOO,ONTARIO,ON,855,2710.8,1183.73,1678.4,1032.41,470.81,184.13,83.94,61.46,50.94,114.37,36.96,31.29,47.62,112.15,39.06
7904,KITCHENER,ONTARIO,ON,861,1971.89,859.98,1245.57,726.32,356.92,202.4,75.79,44.94,27.87,48.19,20.31,20.75,49.79,57.92,31.33
8156,STRATFORD,ONTARIO,ON,514,857.52,418.1,531.01,326.51,214.71,57.75,69.87,33.27,10.96,23.21,11.9,6.35,20.17,35.75,20.19
8435,LONDON,ONTARIO,ON,721,2696.82,1217.29,1696.15,1000.68,565.87,241.65,103,64.92,30.88,84.38,39.94,16.81,59.79,127.33,50.04
8451,LONDON,ONTARIO,ON,686,2184.46,961.1,1377.98,806.49,414.77,171.21,77.21,63.98,34.5,99.15,17.65,19.02,37.1,69.15,38.88
8572,CHATHAM,ONTARIO,ON,601,2451.4,1080.37,1581.65,869.75,471.81,185.54,102,53.42,31.96,67.71,27.44,28.15,52.5,51.37,77.92
8585,SARNIA,ONTARIO,ON,539,1516.96,679.1,981.42,535.54,343.54,128.81,59.92,35.6,19.23,55.62,14.31,17.62,30.15,39.98,45.15
8606,SARNIA,ONTARIO,ON,769,3074.85,1351.25,1950.36,1124.49,571.35,218.06,116.52,48.13,61.79,104.33,37.46,41.17,69.5,91.71,71.21
9632,OAKVILLE,ONTARIO,ON,509,2818.86,1298.94,1707.58,1111.28,481.65,242.5,89.65,95.08,23.88,84.85,56.6,10.44,45.9,158.9,57.23
10411,UNKNOWN,QUEBEC,UNKNOWN,1005,4039.15,1602,2599.1,1440.06,450.62,412.09,96.72,72.09,35.45,97.3,37,79.38,45.77,90.57,42.36
10451,DORCHESTER,ONTARIO,ON,791,2636.19,1153.44,1653.27,982.92,347.5,134.5,99.38,59.94,45.69,45.38,49.94,40.06,55.06,105.38,52.44
12161,L'ASSOMPTION,QUEBEC,QC,894,4858.16,2147.92,2983.46,1874.7,822.92,573.94,144.52,165.42,57.75,130.04,82.4,57.92,52.25,207.42,62.98
12177,MONTRÃ‰AL,QUEBEC,QC,861,3207.62,1456.56,1979.36,1228.26,623.08,330.35,124.94,160.56,36.9,76.38,35.35,36.38,49.13,125.29,31.19
12260,MONTRÃ‰AL,QUEBEC,QC,814,2290.57,1058.12,1385.12,905.45,373.1,184.38,96.73,79.1,28.48,55.37,43.48,28.62,37.27,92.87,24.31
12337,BÃ‰CANCOUR,QUEBEC,QC,719,3577.54,1602.23,2165.02,1412.52,615.98,333.94,111.12,132.37,46.37,103.1,54.37,39.85,44.29,177.08,87.02
