store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
85529,CANMORE,WEST,AB,910,6465.41,2620.5,3661.9,2803.51,810.58,333.15,198.29,90.25,99.21,154.04,106.42,58.04,50.96,430.27,93
85541,MEDICINE HAT,WEST,AB,848,4407.85,1872.79,2677.42,1730.42,773.58,213.37,140.62,51.77,81.9,108.83,66.13,50.94,50.62,255.17,103.67
85618,ST. ALBERT,WEST,AB,948,6568.77,2732.92,4058.55,2510.23,873.29,457.69,169.33,110.73,101.96,148.54,81.25,71.63,101.19,284.17,115.85
85622,RED DEER,WEST,AB,1004,8514.52,3494.94,5296.94,3217.58,1161.77,512.13,241.08,122.5,133.79,191.54,95.44,117.4,156.23,323.27,185.23
85646,RED DEER,WEST,AB,728,4219,1785.27,2441.03,1777.97,554.67,178.58,159.94,64.04,68.87,74.67,90.29,37.62,43.37,267.02,81.4
85649,HINTON,WEST,AB,972,12889.77,4936.63,7513.47,5376.3,1512.94,707.81,316.33,131.15,195.71,273.37,210.1,128.27,218.48,659.1,208.27
85948,EDMONTON,WEST,AB,692,2701.29,1223.31,1658.07,1043.21,456.31,203.62,118.75,75.75,34.29,64.69,34.46,16.13,32.06,126.1,71.63
85964,EDMONTON,WEST,AB,946,6685.68,2795.35,4152.12,2533.56,810.79,378.58,153.56,99,106.08,139.02,97.98,81.9,124.08,223.04,136
85965,EDMONTON,WEST,AB,984,9303.59,3906.62,5810.35,3493.24,1271.98,508.15,261.02,118.54,135.88,200.37,144.54,139.58,133.73,309.17,174.52
85986,EDMONTON,WEST,AB,604,4186.98,1819.48,2532.03,1654.95,527.94,255.27,145.52,90.98,54.19,114.54,55.88,42.56,52.33,226,94.19
87611,LETHBRIDGE,WEST,AB,831,2039.04,857.31,1229.2,809.84,330.43,134.39,53.12,37.06,31.18,47.24,32.94,20.53,28.27,107.22,47.82
87672,CALGARY,WEST,AB,754,6002.7,2668.96,3734.16,2268.54,1122.4,431.19,194.71,191.5,97.13,186.31,87.06,59.12,95.83,229.15,120.63
89180,SHERWOOD PARK,WEST,AB,625,3977.68,1709.6,2465.12,1512.56,640.69,315.04,141.5,108.94,38.19,117.17,34.5,36.4,73.52,177.23,80.29
89323,CALGARY,WEST,AB,925,6824.46,2943.25,4186.57,2637.89,923,342.77,228.21,112.62,107.04,168.25,139.19,88.77,95.92,266.56,130.58
